104052 silly lifecycle stream-combiner2@1.0.2~preinstall: no script for preinstall, continuing
106492 verbose linkMans error-ex@1.3.0
106493 silly build is-binary-path@1.0.1
106494 info linkStuff is-binary-path@1.0.1
106495 silly linkStuff is-binary-path@1.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106496 verbose linkBins is-binary-path@1.0.1
106497 verbose linkMans is-binary-path@1.0.1
106498 silly build is-buffer@1.1.3
106499 info linkStuff is-buffer@1.1.3
106500 silly linkStuff is-buffer@1.1.3 has /home/francesco/blog/node_modules as its parent node_modules
106501 verbose linkBins is-buffer@1.1.3
106502 verbose linkMans is-buffer@1.1.3
106503 silly build is-builtin-module@1.0.0
106504 info linkStuff is-builtin-module@1.0.0
106505 silly linkStuff is-builtin-module@1.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106506 verbose linkBins is-builtin-module@1.0.0
106507 verbose linkMans is-builtin-module@1.0.0
106508 silly build is-dotfile@1.0.2
106509 info linkStuff is-dotfile@1.0.2
106510 silly linkStuff is-dotfile@1.0.2 has /home/francesco/blog/node_modules as its parent node_modules
106511 verbose linkBins is-dotfile@1.0.2
106512 verbose linkMans is-dotfile@1.0.2
106513 silly build is-extendable@0.1.1
106514 info linkStuff is-extendable@0.1.1
106515 silly linkStuff is-extendable@0.1.1 has /home/francesco/blog/node_modules as its parent node_modules
106516 verbose linkBins is-extendable@0.1.1
106517 verbose linkMans is-extendable@0.1.1
106518 silly build is-extglob@1.0.0
106519 info linkStuff is-extglob@1.0.0
106520 silly linkStuff is-extglob@1.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106521 verbose linkBins is-extglob@1.0.0
106522 verbose linkMans is-extglob@1.0.0
106523 silly build extglob@0.3.2
106524 info linkStuff extglob@0.3.2
106525 silly linkStuff extglob@0.3.2 has /home/francesco/blog/node_modules as its parent node_modules
106526 verbose linkBins extglob@0.3.2
106527 verbose linkMans extglob@0.3.2
106528 silly build is-glob@2.0.1
106529 info linkStuff is-glob@2.0.1
106530 silly linkStuff is-glob@2.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106531 verbose linkBins is-glob@2.0.1
106532 verbose linkMans is-glob@2.0.1
106533 silly build glob-parent@2.0.0
106534 info linkStuff glob-parent@2.0.0
106535 silly linkStuff glob-parent@2.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106536 verbose linkBins glob-parent@2.0.0
106537 verbose linkMans glob-parent@2.0.0
106538 silly build glob-base@0.3.0
106539 info linkStuff glob-base@0.3.0
106540 silly linkStuff glob-base@0.3.0 has /home/francesco/blog/node_modules as its parent node_modules
106541 verbose linkBins glob-base@0.3.0
106542 verbose linkMans glob-base@0.3.0
106543 silly build is-path-cwd@1.0.0
106544 info linkStuff is-path-cwd@1.0.0
106545 silly linkStuff is-path-cwd@1.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106546 verbose linkBins is-path-cwd@1.0.0
106547 verbose linkMans is-path-cwd@1.0.0
106548 silly build is-plain-obj@1.1.0
106549 info linkStuff is-plain-obj@1.1.0
106550 silly linkStuff is-plain-obj@1.1.0 has /home/francesco/blog/node_modules as its parent node_modules
106551 verbose linkBins is-plain-obj@1.1.0
106552 verbose linkMans is-plain-obj@1.1.0
106553 silly build is-posix-bracket@0.1.1
106554 info linkStuff is-posix-bracket@0.1.1
106555 silly linkStuff is-posix-bracket@0.1.1 has /home/francesco/blog/node_modules as its parent node_modules
106556 verbose linkBins is-posix-bracket@0.1.1
106557 verbose linkMans is-posix-bracket@0.1.1
106558 silly build expand-brackets@0.1.5
106559 info linkStuff expand-brackets@0.1.5
106560 silly linkStuff expand-brackets@0.1.5 has /home/francesco/blog/node_modules as its parent node_modules
106561 verbose linkBins expand-brackets@0.1.5
106562 verbose linkMans expand-brackets@0.1.5
106563 silly build is-primitive@2.0.0
106564 info linkStuff is-primitive@2.0.0
106565 silly linkStuff is-primitive@2.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106566 verbose linkBins is-primitive@2.0.0
106567 verbose linkMans is-primitive@2.0.0
106568 silly build is-equal-shallow@0.1.3
106569 info linkStuff is-equal-shallow@0.1.3
106570 silly linkStuff is-equal-shallow@0.1.3 has /home/francesco/blog/node_modules as its parent node_modules
106571 verbose linkBins is-equal-shallow@0.1.3
106572 verbose linkMans is-equal-shallow@0.1.3
106573 silly build is-property@1.0.2
106574 info linkStuff is-property@1.0.2
106575 silly linkStuff is-property@1.0.2 has /home/francesco/blog/node_modules as its parent node_modules
106576 verbose linkBins is-property@1.0.2
106577 verbose linkMans is-property@1.0.2
106578 silly build generate-object-property@1.2.0
106579 info linkStuff generate-object-property@1.2.0
106580 silly linkStuff generate-object-property@1.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106581 verbose linkBins generate-object-property@1.2.0
106582 verbose linkMans generate-object-property@1.2.0
106583 silly build is-svg@2.0.1
106584 info linkStuff is-svg@2.0.1
106585 silly linkStuff is-svg@2.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106586 verbose linkBins is-svg@2.0.1
106587 verbose linkMans is-svg@2.0.1
106588 silly build is-utf8@0.2.1
106589 info linkStuff is-utf8@0.2.1
106590 silly linkStuff is-utf8@0.2.1 has /home/francesco/blog/node_modules as its parent node_modules
106591 verbose linkBins is-utf8@0.2.1
106592 verbose linkMans is-utf8@0.2.1
106593 silly build is-windows@0.2.0
106594 info linkStuff is-windows@0.2.0
106595 silly linkStuff is-windows@0.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106596 verbose linkBins is-windows@0.2.0
106597 verbose linkMans is-windows@0.2.0
106598 silly build isarray@0.0.1
106599 info linkStuff isarray@0.0.1
106600 silly linkStuff isarray@0.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106601 verbose linkBins isarray@0.0.1
106602 verbose linkMans isarray@0.0.1
106603 silly build has-binary@0.1.7
106604 info linkStuff has-binary@0.1.7
106605 silly linkStuff has-binary@0.1.7 has /home/francesco/blog/node_modules as its parent node_modules
106606 verbose linkBins has-binary@0.1.7
106607 verbose linkMans has-binary@0.1.7
106608 silly build has-binary@0.1.6
106609 info linkStuff has-binary@0.1.6
106610 silly linkStuff has-binary@0.1.6 has /home/francesco/blog/node_modules/engine.io-parser/node_modules as its parent node_modules
106611 verbose linkBins has-binary@0.1.6
106612 verbose linkMans has-binary@0.1.6
106613 silly build isexe@1.1.2
106614 info linkStuff isexe@1.1.2
106615 silly linkStuff isexe@1.1.2 has /home/francesco/blog/node_modules as its parent node_modules
106616 verbose linkBins isexe@1.1.2
106617 verbose linkMans isexe@1.1.2
106618 silly build isarray@1.0.0
106619 info linkStuff isarray@1.0.0
106620 silly linkStuff isarray@1.0.0 has /home/francesco/blog/node_modules/isobject/node_modules as its parent node_modules
106621 verbose linkBins isarray@1.0.0
106622 verbose linkMans isarray@1.0.0
106623 silly build isobject@2.1.0
106624 info linkStuff isobject@2.1.0
106625 silly linkStuff isobject@2.1.0 has /home/francesco/blog/node_modules as its parent node_modules
106626 verbose linkBins isobject@2.1.0
106627 verbose linkMans isobject@2.1.0
106628 silly build isstream@0.1.2
106629 info linkStuff isstream@0.1.2
106630 silly linkStuff isstream@0.1.2 has /home/francesco/blog/node_modules as its parent node_modules
106631 verbose linkBins isstream@0.1.2
106632 verbose linkMans isstream@0.1.2
106633 silly build js-base64@2.1.9
106634 info linkStuff js-base64@2.1.9
106635 silly linkStuff js-base64@2.1.9 has /home/francesco/blog/node_modules as its parent node_modules
106636 verbose linkBins js-base64@2.1.9
106637 verbose linkMans js-base64@2.1.9
106638 silly build js-tokens@1.0.3
106639 info linkStuff js-tokens@1.0.3
106640 silly linkStuff js-tokens@1.0.3 has /home/francesco/blog/node_modules as its parent node_modules
106641 verbose linkBins js-tokens@1.0.3
106642 verbose linkMans js-tokens@1.0.3
106643 silly build jsesc@0.5.0
106644 info linkStuff jsesc@0.5.0
106645 silly linkStuff jsesc@0.5.0 has /home/francesco/blog/node_modules as its parent node_modules
106646 verbose linkBins jsesc@0.5.0
106647 verbose link bins [ { jsesc: 'bin/jsesc' },
106647 verbose link bins   '/home/francesco/blog/node_modules/.bin',
106647 verbose link bins   false ]
106648 verbose linkMans jsesc@0.5.0
106649 silly gentlyRm /home/francesco/blog/node_modules/.bin/jsesc is being purged
106650 verbose gentlyRm don't care about contents; nuking /home/francesco/blog/node_modules/.bin/jsesc
106651 silly build json-stringify-safe@5.0.1
106652 info linkStuff json-stringify-safe@5.0.1
106653 silly linkStuff json-stringify-safe@5.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106654 verbose linkBins json-stringify-safe@5.0.1
106655 verbose linkMans json-stringify-safe@5.0.1
106656 silly build json3@3.2.6
106657 info linkStuff json3@3.2.6
106658 silly linkStuff json3@3.2.6 has /home/francesco/blog/node_modules as its parent node_modules
106659 verbose linkBins json3@3.2.6
106660 verbose linkMans json3@3.2.6
106661 silly build json5@0.4.0
106662 info linkStuff json5@0.4.0
106663 silly linkStuff json5@0.4.0 has /home/francesco/blog/node_modules as its parent node_modules
106664 verbose linkBins json5@0.4.0
106665 verbose link bins [ { json5: 'lib/cli.js' },
106665 verbose link bins   '/home/francesco/blog/node_modules/.bin',
106665 verbose link bins   false ]
106666 verbose linkMans json5@0.4.0
106667 silly gentlyRm /home/francesco/blog/node_modules/.bin/json5 is being purged
106668 verbose gentlyRm don't care about contents; nuking /home/francesco/blog/node_modules/.bin/json5
106669 silly build jsonfile@2.3.1
106670 info linkStuff jsonfile@2.3.1
106671 silly linkStuff jsonfile@2.3.1 has /home/francesco/blog/node_modules as its parent node_modules
106672 verbose linkBins jsonfile@2.3.1
106673 verbose linkMans jsonfile@2.3.1
106674 silly build jsonify@0.0.0
106675 info linkStuff jsonify@0.0.0
106676 silly linkStuff jsonify@0.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106677 verbose linkBins jsonify@0.0.0
106678 verbose linkMans jsonify@0.0.0
106679 silly build json-stable-stringify@0.0.1
106680 info linkStuff json-stable-stringify@0.0.1
106681 silly linkStuff json-stable-stringify@0.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106682 verbose linkBins json-stable-stringify@0.0.1
106683 verbose linkMans json-stable-stringify@0.0.1
106684 silly build jsonparse@1.2.0
106685 info linkStuff jsonparse@1.2.0
106686 silly linkStuff jsonparse@1.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106687 verbose linkBins jsonparse@1.2.0
106688 verbose linkMans jsonparse@1.2.0
106689 silly build jsonpointer@2.0.0
106690 info linkStuff jsonpointer@2.0.0
106691 silly linkStuff jsonpointer@2.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106692 verbose linkBins jsonpointer@2.0.0
106693 verbose linkMans jsonpointer@2.0.0
106694 silly build kind-of@3.0.3
106695 info linkStuff kind-of@3.0.3
106696 silly linkStuff kind-of@3.0.3 has /home/francesco/blog/node_modules as its parent node_modules
106697 verbose linkBins kind-of@3.0.3
106698 verbose linkMans kind-of@3.0.3
106699 silly build is-number@2.1.0
106700 info linkStuff is-number@2.1.0
106701 silly linkStuff is-number@2.1.0 has /home/francesco/blog/node_modules as its parent node_modules
106702 verbose linkBins is-number@2.1.0
106703 verbose linkMans is-number@2.1.0
106704 silly build klaw@1.3.0
106705 info linkStuff klaw@1.3.0
106706 silly linkStuff klaw@1.3.0 has /home/francesco/blog/node_modules as its parent node_modules
106707 verbose linkBins klaw@1.3.0
106708 verbose linkMans klaw@1.3.0
106709 silly build lazy-cache@1.0.4
106710 info linkStuff lazy-cache@1.0.4
106711 silly linkStuff lazy-cache@1.0.4 has /home/francesco/blog/node_modules as its parent node_modules
106712 verbose linkBins lazy-cache@1.0.4
106713 verbose linkMans lazy-cache@1.0.4
106714 silly build lcid@1.0.0
106715 info linkStuff lcid@1.0.0
106716 silly linkStuff lcid@1.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106717 verbose linkBins lcid@1.0.0
106718 verbose linkMans lcid@1.0.0
106719 silly build mime@1.3.4
106720 info linkStuff mime@1.3.4
106721 silly linkStuff mime@1.3.4 has /home/francesco/blog/node_modules/less/node_modules as its parent node_modules
106722 verbose linkBins mime@1.3.4
106723 verbose link bins [ { mime: 'cli.js' },
106723 verbose link bins   '/home/francesco/blog/node_modules/less/node_modules/.bin',
106723 verbose link bins   false ]
106724 verbose linkMans mime@1.3.4
106725 silly gentlyRm /home/francesco/blog/node_modules/less/node_modules/.bin/mime is being purged
106726 verbose gentlyRm don't care about contents; nuking /home/francesco/blog/node_modules/less/node_modules/.bin/mime
106727 silly build lexical-scope@1.2.0
106728 info linkStuff lexical-scope@1.2.0
106729 silly linkStuff lexical-scope@1.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106730 verbose linkBins lexical-scope@1.2.0
106731 verbose linkMans lexical-scope@1.2.0
106732 silly build limiter@1.1.0
106733 info linkStuff limiter@1.1.0
106734 silly linkStuff limiter@1.1.0 has /home/francesco/blog/node_modules as its parent node_modules
106735 verbose linkBins limiter@1.1.0
106736 verbose linkMans limiter@1.1.0
106737 silly build camelcase@1.2.1
106738 info linkStuff camelcase@1.2.1
106739 silly linkStuff camelcase@1.2.1 has /home/francesco/blog/node_modules/localtunnel/node_modules as its parent node_modules
106740 verbose linkBins camelcase@1.2.1
106741 verbose linkMans camelcase@1.2.1
106742 silly build lodash@1.0.2
106743 info linkStuff lodash@1.0.2
106744 silly linkStuff lodash@1.0.2 has /home/francesco/blog/node_modules as its parent node_modules
106745 verbose linkBins lodash@1.0.2
106746 verbose linkMans lodash@1.0.2
106747 silly build lodash._arraycopy@3.0.0
106748 info linkStuff lodash._arraycopy@3.0.0
106749 silly linkStuff lodash._arraycopy@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106750 verbose linkBins lodash._arraycopy@3.0.0
106751 verbose linkMans lodash._arraycopy@3.0.0
106752 silly build lodash._arrayeach@3.0.0
106753 info linkStuff lodash._arrayeach@3.0.0
106754 silly linkStuff lodash._arrayeach@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106755 verbose linkBins lodash._arrayeach@3.0.0
106756 verbose linkMans lodash._arrayeach@3.0.0
106757 silly build lodash._basecopy@3.0.1
106758 info linkStuff lodash._basecopy@3.0.1
106759 silly linkStuff lodash._basecopy@3.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106760 verbose linkBins lodash._basecopy@3.0.1
106761 verbose linkMans lodash._basecopy@3.0.1
106762 silly build lodash._basefor@3.0.3
106763 info linkStuff lodash._basefor@3.0.3
106764 silly linkStuff lodash._basefor@3.0.3 has /home/francesco/blog/node_modules as its parent node_modules
106765 verbose linkBins lodash._basefor@3.0.3
106766 verbose linkMans lodash._basefor@3.0.3
106767 silly build lodash._baseslice@4.0.0
106768 info linkStuff lodash._baseslice@4.0.0
106769 silly linkStuff lodash._baseslice@4.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106770 verbose linkBins lodash._baseslice@4.0.0
106771 verbose linkMans lodash._baseslice@4.0.0
106772 silly build lodash._basetostring@3.0.1
106773 info linkStuff lodash._basetostring@3.0.1
106774 silly linkStuff lodash._basetostring@3.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106775 verbose linkBins lodash._basetostring@3.0.1
106776 verbose linkMans lodash._basetostring@3.0.1
106777 silly build lodash._basevalues@3.0.0
106778 info linkStuff lodash._basevalues@3.0.0
106779 silly linkStuff lodash._basevalues@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106780 verbose linkBins lodash._basevalues@3.0.0
106781 verbose linkMans lodash._basevalues@3.0.0
106782 silly build lodash._bindcallback@3.0.1
106783 info linkStuff lodash._bindcallback@3.0.1
106784 silly linkStuff lodash._bindcallback@3.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106785 verbose linkBins lodash._bindcallback@3.0.1
106786 verbose linkMans lodash._bindcallback@3.0.1
106787 silly build lodash._getnative@3.9.1
106788 info linkStuff lodash._getnative@3.9.1
106789 silly linkStuff lodash._getnative@3.9.1 has /home/francesco/blog/node_modules as its parent node_modules
106790 verbose linkBins lodash._getnative@3.9.1
106791 verbose linkMans lodash._getnative@3.9.1
106792 silly build lodash._isiterateecall@3.0.9
106793 info linkStuff lodash._isiterateecall@3.0.9
106794 silly linkStuff lodash._isiterateecall@3.0.9 has /home/francesco/blog/node_modules as its parent node_modules
106795 verbose linkBins lodash._isiterateecall@3.0.9
106796 verbose linkMans lodash._isiterateecall@3.0.9
106797 silly build lodash._reescape@3.0.0
106798 info linkStuff lodash._reescape@3.0.0
106799 silly linkStuff lodash._reescape@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106800 verbose linkBins lodash._reescape@3.0.0
106801 verbose linkMans lodash._reescape@3.0.0
106802 silly build lodash._reevaluate@3.0.0
106803 info linkStuff lodash._reevaluate@3.0.0
106804 silly linkStuff lodash._reevaluate@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106805 verbose linkBins lodash._reevaluate@3.0.0
106806 verbose linkMans lodash._reevaluate@3.0.0
106807 silly build lodash._reinterpolate@3.0.0
106808 info linkStuff lodash._reinterpolate@3.0.0
106809 silly linkStuff lodash._reinterpolate@3.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106810 verbose linkBins lodash._reinterpolate@3.0.0
106811 verbose linkMans lodash._reinterpolate@3.0.0
106812 silly build lodash._root@3.0.1
106813 info linkStuff lodash._root@3.0.1
106814 silly linkStuff lodash._root@3.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106815 verbose linkBins lodash._root@3.0.1
106816 verbose linkMans lodash._root@3.0.1
106817 silly build lodash.keys@4.0.7
106818 info linkStuff lodash.keys@4.0.7
106819 silly linkStuff lodash.keys@4.0.7 has /home/francesco/blog/node_modules/lodash.assign/node_modules as its parent node_modules
106820 verbose linkBins lodash.keys@4.0.7
106821 verbose linkMans lodash.keys@4.0.7
106822 silly build lodash.escape@3.2.0
106823 info linkStuff lodash.escape@3.2.0
106824 silly linkStuff lodash.escape@3.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106825 verbose linkBins lodash.escape@3.2.0
106826 verbose linkMans lodash.escape@3.2.0
106827 silly build lodash.isarguments@3.0.8
106828 info linkStuff lodash.isarguments@3.0.8
106829 silly linkStuff lodash.isarguments@3.0.8 has /home/francesco/blog/node_modules as its parent node_modules
106830 verbose linkBins lodash.isarguments@3.0.8
106831 verbose linkMans lodash.isarguments@3.0.8
106832 silly build lodash.isarray@3.0.4
106833 info linkStuff lodash.isarray@3.0.4
106834 silly linkStuff lodash.isarray@3.0.4 has /home/francesco/blog/node_modules as its parent node_modules
106835 verbose linkBins lodash.isarray@3.0.4
106836 verbose linkMans lodash.isarray@3.0.4
106837 silly build lodash.keys@3.1.2
106838 info linkStuff lodash.keys@3.1.2
106839 silly linkStuff lodash.keys@3.1.2 has /home/francesco/blog/node_modules as its parent node_modules
106840 verbose linkBins lodash.keys@3.1.2
106841 verbose linkMans lodash.keys@3.1.2
106842 silly build lodash._baseassign@3.2.0
106843 info linkStuff lodash._baseassign@3.2.0
106844 silly linkStuff lodash._baseassign@3.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106845 verbose linkBins lodash._baseassign@3.2.0
106846 verbose linkMans lodash._baseassign@3.2.0
106847 silly build lodash._baseclone@3.3.0
106848 info linkStuff lodash._baseclone@3.3.0
106849 silly linkStuff lodash._baseclone@3.3.0 has /home/francesco/blog/node_modules as its parent node_modules
106850 verbose linkBins lodash._baseclone@3.3.0
106851 verbose linkMans lodash._baseclone@3.3.0
106852 silly build lodash.clonedeep@3.0.2
106853 info linkStuff lodash.clonedeep@3.0.2
106854 silly linkStuff lodash.clonedeep@3.0.2 has /home/francesco/blog/node_modules as its parent node_modules
106855 verbose linkBins lodash.clonedeep@3.0.2
106856 verbose linkMans lodash.clonedeep@3.0.2
106857 silly build lodash.memoize@3.0.4
106858 info linkStuff lodash.memoize@3.0.4
106859 silly linkStuff lodash.memoize@3.0.4 has /home/francesco/blog/node_modules as its parent node_modules
106860 verbose linkBins lodash.memoize@3.0.4
106861 verbose linkMans lodash.memoize@3.0.4
106862 silly build combine-source-map@0.6.1
106863 info linkStuff combine-source-map@0.6.1
106864 silly linkStuff combine-source-map@0.6.1 has /home/francesco/blog/node_modules as its parent node_modules
106865 verbose linkBins combine-source-map@0.6.1
106866 verbose linkMans combine-source-map@0.6.1
106867 silly build lodash._basetostring@4.12.0
106868 info linkStuff lodash._basetostring@4.12.0
106869 silly linkStuff lodash._basetostring@4.12.0 has /home/francesco/blog/node_modules/lodash.pad/node_modules as its parent node_modules
106870 verbose linkBins lodash._basetostring@4.12.0
106871 verbose linkMans lodash._basetostring@4.12.0
106872 silly build lodash._basetostring@4.12.0
106873 info linkStuff lodash._basetostring@4.12.0
106874 silly linkStuff lodash._basetostring@4.12.0 has /home/francesco/blog/node_modules/lodash.padend/node_modules as its parent node_modules
106875 verbose linkBins lodash._basetostring@4.12.0
106876 verbose linkMans lodash._basetostring@4.12.0
106877 silly build lodash._basetostring@4.12.0
106878 info linkStuff lodash._basetostring@4.12.0
106879 silly linkStuff lodash._basetostring@4.12.0 has /home/francesco/blog/node_modules/lodash.padstart/node_modules as its parent node_modules
106880 verbose linkBins lodash._basetostring@4.12.0
106881 verbose linkMans lodash._basetostring@4.12.0
106882 silly build lodash.rest@4.0.3
106883 info linkStuff lodash.rest@4.0.3
106884 silly linkStuff lodash.rest@4.0.3 has /home/francesco/blog/node_modules as its parent node_modules
106885 verbose linkBins lodash.rest@4.0.3
106886 verbose linkMans lodash.rest@4.0.3
106887 silly build lodash.assign@4.0.9
106888 info linkStuff lodash.assign@4.0.9
106889 silly linkStuff lodash.assign@4.0.9 has /home/francesco/blog/node_modules as its parent node_modules
106890 verbose linkBins lodash.assign@4.0.9
106891 verbose linkMans lodash.assign@4.0.9
106892 silly build lodash.restparam@3.6.1
106893 info linkStuff lodash.restparam@3.6.1
106894 silly linkStuff lodash.restparam@3.6.1 has /home/francesco/blog/node_modules as its parent node_modules
106895 verbose linkBins lodash.restparam@3.6.1
106896 verbose linkMans lodash.restparam@3.6.1
106897 silly build lodash._createassigner@3.1.1
106898 info linkStuff lodash._createassigner@3.1.1
106899 silly linkStuff lodash._createassigner@3.1.1 has /home/francesco/blog/node_modules as its parent node_modules
106900 verbose linkBins lodash._createassigner@3.1.1
106901 verbose linkMans lodash._createassigner@3.1.1
106902 silly build lodash.templatesettings@3.1.1
106903 info linkStuff lodash.templatesettings@3.1.1
106904 silly linkStuff lodash.templatesettings@3.1.1 has /home/francesco/blog/node_modules as its parent node_modules
106905 verbose linkBins lodash.templatesettings@3.1.1
106906 verbose linkMans lodash.templatesettings@3.1.1
106907 silly build lodash.template@3.6.2
106908 info linkStuff lodash.template@3.6.2
106909 silly linkStuff lodash.template@3.6.2 has /home/francesco/blog/node_modules as its parent node_modules
106910 verbose linkBins lodash.template@3.6.2
106911 verbose linkMans lodash.template@3.6.2
106912 silly build lodash.tostring@4.1.3
106913 info linkStuff lodash.tostring@4.1.3
106914 silly linkStuff lodash.tostring@4.1.3 has /home/francesco/blog/node_modules as its parent node_modules
106915 verbose linkBins lodash.tostring@4.1.3
106916 verbose linkMans lodash.tostring@4.1.3
106917 silly build lodash.padstart@4.5.0
106918 info linkStuff lodash.padstart@4.5.0
106919 silly linkStuff lodash.padstart@4.5.0 has /home/francesco/blog/node_modules as its parent node_modules
106920 verbose linkBins lodash.padstart@4.5.0
106921 verbose linkMans lodash.padstart@4.5.0
106922 silly build lodash.padend@4.5.0
106923 info linkStuff lodash.padend@4.5.0
106924 silly linkStuff lodash.padend@4.5.0 has /home/francesco/blog/node_modules as its parent node_modules
106925 verbose linkBins lodash.padend@4.5.0
106926 verbose linkMans lodash.padend@4.5.0
106927 silly build lodash.pad@4.4.0
106928 info linkStuff lodash.pad@4.4.0
106929 silly linkStuff lodash.pad@4.4.0 has /home/francesco/blog/node_modules as its parent node_modules
106930 verbose linkBins lodash.pad@4.4.0
106931 verbose linkMans lodash.pad@4.4.0
106932 silly build gauge@1.2.7
106933 info linkStuff gauge@1.2.7
106934 silly linkStuff gauge@1.2.7 has /home/francesco/blog/node_modules as its parent node_modules
106935 verbose linkBins gauge@1.2.7
106936 verbose linkMans gauge@1.2.7
106937 silly build longest@1.0.1
106938 info linkStuff longest@1.0.1
106939 silly linkStuff longest@1.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106940 verbose linkBins longest@1.0.1
106941 verbose linkMans longest@1.0.1
106942 silly build loose-envify@1.2.0
106943 info linkStuff loose-envify@1.2.0
106944 silly linkStuff loose-envify@1.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106945 verbose linkBins loose-envify@1.2.0
106946 verbose link bins [ { 'loose-envify': 'cli.js' },
106946 verbose link bins   '/home/francesco/blog/node_modules/.bin',
106946 verbose link bins   false ]
106947 verbose linkMans loose-envify@1.2.0
106948 silly gentlyRm /home/francesco/blog/node_modules/.bin/loose-envify is being purged
106949 verbose gentlyRm don't care about contents; nuking /home/francesco/blog/node_modules/.bin/loose-envify
106950 silly build invariant@2.2.1
106951 info linkStuff invariant@2.2.1
106952 silly linkStuff invariant@2.2.1 has /home/francesco/blog/node_modules as its parent node_modules
106953 verbose linkBins invariant@2.2.1
106954 verbose linkMans invariant@2.2.1
106955 silly build lru-cache@2.7.3
106956 info linkStuff lru-cache@2.7.3
106957 silly linkStuff lru-cache@2.7.3 has /home/francesco/blog/node_modules as its parent node_modules
106958 verbose linkBins lru-cache@2.7.3
106959 verbose linkMans lru-cache@2.7.3
106960 silly build map-obj@1.0.1
106961 info linkStuff map-obj@1.0.1
106962 silly linkStuff map-obj@1.0.1 has /home/francesco/blog/node_modules as its parent node_modules
106963 verbose linkBins map-obj@1.0.1
106964 verbose linkMans map-obj@1.0.1
106965 silly build camelcase-keys@2.1.0
106966 info linkStuff camelcase-keys@2.1.0
106967 silly linkStuff camelcase-keys@2.1.0 has /home/francesco/blog/node_modules as its parent node_modules
106968 verbose linkBins camelcase-keys@2.1.0
106969 verbose linkMans camelcase-keys@2.1.0
106970 silly build marked@0.3.5
106971 info linkStuff marked@0.3.5
106972 silly linkStuff marked@0.3.5 has /home/francesco/blog/node_modules as its parent node_modules
106973 warn prefer global marked@0.3.5 should be installed with -g
106974 verbose linkBins marked@0.3.5
106975 verbose link bins [ { marked: './bin/marked' },
106975 verbose link bins   '/home/francesco/blog/node_modules/.bin',
106975 verbose link bins   false ]
106976 verbose linkMans marked@0.3.5
106977 silly gentlyRm /home/francesco/blog/node_modules/.bin/marked is being purged
106978 verbose gentlyRm don't care about contents; nuking /home/francesco/blog/node_modules/.bin/marked
106979 silly build lodash.assign@3.2.0
106980 info linkStuff lodash.assign@3.2.0
106981 silly linkStuff lodash.assign@3.2.0 has /home/francesco/blog/node_modules/marked-terminal/node_modules as its parent node_modules
106982 verbose linkBins lodash.assign@3.2.0
106983 verbose linkMans lodash.assign@3.2.0
106984 silly build object-assign@4.1.0
106985 info linkStuff object-assign@4.1.0
106986 silly linkStuff object-assign@4.1.0 has /home/francesco/blog/node_modules/meow/node_modules as its parent node_modules
106987 verbose linkBins object-assign@4.1.0
106988 verbose linkMans object-assign@4.1.0
106989 silly build merge@1.2.0
106990 info linkStuff merge@1.2.0
106991 silly linkStuff merge@1.2.0 has /home/francesco/blog/node_modules as its parent node_modules
106992 verbose linkBins merge@1.2.0
106993 verbose linkMans merge@1.2.0
106994 silly build miller-rabin@4.0.0
106995 info linkStuff miller-rabin@4.0.0
106996 silly linkStuff miller-rabin@4.0.0 has /home/francesco/blog/node_modules as its parent node_modules
106997 verbose linkBins miller-rabin@4.0.0
106998 verbose link bins [ { 'miller-rabin': 'bin/miller-rabin' },
106998 verbose link bins   '/home/francesco/blog/node_modules/.bin',
106998 verbose link bins   false ]
